"organizationId","organizationName","siteId","siteName","deviceId","deviceName","deviceUserFriendlyId","deviceTimeZoneId","latitude","longitude","serviceSubscriptionId","particulateId","displayName","scientificName","isBeta","warningConcentrationThreshold","dangerConcentrationThreshold","maximumConcentrationThreshold","tapeScanId","samplingStartTime","samplingEndTime","count","concentration"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","74247","2025-10-12T10:00:01Z","2025-10-12T16:00:10Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","74389","2025-10-13T10:00:01Z","2025-10-13T16:00:13Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","74517","2025-10-14T10:00:01Z","2025-10-14T16:00:11Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","74650","2025-10-15T10:00:01Z","2025-10-15T16:00:11Z","1","1,3882462"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","74774","2025-10-16T10:00:01Z","2025-10-16T16:00:16Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","74908","2025-10-17T10:00:01Z","2025-10-17T16:00:12Z","1","1,3881819"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","75044","2025-10-18T10:00:01Z","2025-10-18T16:00:10Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","75331","2025-10-19T10:00:18Z","2025-10-19T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","75326","2025-10-20T10:00:01Z","2025-10-20T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","75623","2025-10-21T10:00:19Z","2025-10-21T16:00:11Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","75613","2025-10-22T10:00:01Z","2025-10-22T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","75761","2025-10-23T10:00:01Z","2025-10-23T16:00:11Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","75908","2025-10-24T10:00:01Z","2025-10-24T16:00:11Z","0","0"
